frame,dx1,dy1,dx2,dy2,iou,dis,conf,problem
3859,9.0,0.0,0.0,3.0,0.7350096711798839,4.743416490252569,0.6330395340919495,1
3860,10.0,0.0,2.0,2.0,0.7049608355091384,6.082762530298219,0.6472371816635132,1
3861,7.0,1.0,3.0,2.0,0.7196512407780014,5.220153254455275,0.6543405652046204,1
3862,7.0,2.0,3.0,3.0,0.6780104712041884,5.5901699437494745,0.6709035634994507,1
3863,8.0,0.0,2.0,4.0,0.6963350785340314,5.385164807134504,0.660631537437439,1
3864,8.0,0.0,1.0,3.0,0.7280393534785664,4.743416490252569,0.6362143158912659,1
3865,9.0,0.0,3.0,3.0,0.6767955801104972,6.18465843842649,0.6281795501708984,1
3866,3.0,2.0,0.0,1.0,0.8375101050929669,2.1213203435596424,0.6147713661193848,0
3867,2.0,1.0,1.0,2.0,0.8343347639484978,2.1213203435596424,0.6401911973953247,0
3868,1.0,0.0,1.0,2.0,0.8873239436619719,1.0,0.6447126865386963,0
3869,1.0,2.0,1.0,2.0,0.8250428816466552,2.23606797749979,0.6356210112571716,0
3870,4.0,1.0,3.0,2.0,0.7512647554806071,1.5811388300841898,0.6118962168693542,0
3871,2.0,1.0,1.0,2.0,0.8343347639484978,2.1213203435596424,0.6188983917236328,0
3872,1.0,1.0,0.0,2.0,0.8778558875219684,1.5811388300841898,0.6044864058494568,0
3873,1.0,1.0,1.0,1.0,0.8836363636363637,1.0,0.5990001559257507,0
3874,1.0,1.0,1.0,2.0,0.8560411311053985,1.8027756377319946,0.6103318929672241,0
3875,2.0,1.0,1.0,2.0,0.8366834170854272,1.5811388300841898,0.611003577709198,0
3876,1.0,1.0,2.0,2.0,0.8333333333333334,1.5811388300841898,0.6022352576255798,0
3877,3.0,2.0,1.0,2.0,0.7924528301886793,2.23606797749979,0.590861976146698,0
3878,2.0,2.0,1.0,1.0,0.8340425531914893,1.5811388300841898,0.5841949582099915,0
3879,4.0,1.0,3.0,0.0,0.8055555555555556,0.7071067811865476,0.590160608291626,0
3880,5.0,0.0,0.0,1.0,0.8458333333333333,2.5495097567963922,0.6027175188064575,0
3881,8.0,1.0,1.0,0.0,0.7689393939393939,3.5355339059327378,0.6188166737556458,1
3882,7.0,1.0,0.0,0.0,0.8055555555555556,3.5355339059327378,0.6321940422058105,0
3883,5.0,4.0,4.0,1.0,0.6791406791406791,2.5495097567963922,0.6113525629043579,0
3884,7.0,2.0,2.0,1.0,0.7208806818181818,2.5495097567963922,0.5885061621665955,1
3885,4.0,3.0,5.0,0.0,0.7208806818181818,1.5811388300841898,0.5836097598075867,1
3886,6.0,3.0,3.0,0.0,0.7208806818181818,2.1213203435596424,0.594660222530365,1
3887,10.0,5.0,5.0,2.0,0.5638888888888889,2.9154759474226504,0.5783094167709351,1
3888,1.0,3.0,1.0,2.0,0.8240506329113924,2.5,0.5668216347694397,0
3889,7.0,2.0,5.0,1.0,0.6981132075471698,6.020797289396148,0.565413773059845,1
3890,5.0,5.0,2.0,0.0,0.730072463768116,2.9154759474226504,0.6038210988044739,0
3892,6.0,18.0,0.0,19.0,0.22429906542056074,18.741664813991314,0.5687536597251892,1
3894,22.0,22.0,14.0,17.0,0.12111017661900757,26.537709019431198,0.4734598398208618,1
3895,39.0,22.0,30.0,17.0,0.044823906083244394,39.62953444086872,0.324724942445755,1
3896,47.0,20.0,39.0,17.0,0.00489853044086774,46.810789354592174,0.5905563831329346,1
3897,2.0,6.0,6.0,2.0,0.6971830985915493,4.47213595499958,0.5762474536895752,1
3898,2.0,0.0,4.0,1.0,0.8665997993981945,3.0413812651491097,0.5820855498313904,0
3899,2.0,0.0,0.0,0.0,0.9615384615384616,1.0,0.5918408036231995,0
3900,3.0,0.0,3.0,0.0,0.8909090909090909,3.0,0.5896236300468445,0
3901,8.0,1.0,2.0,0.0,0.8010999083409716,5.024937810560445,0.5801456570625305,0
3902,9.0,1.0,3.0,1.0,0.7587085811384877,6.0,0.5836562514305115,1
3903,2.0,6.0,5.0,1.0,0.7465472191116088,2.9154759474226504,0.58015376329422,1
3904,0.0,8.0,5.0,1.0,0.7375886524822695,4.301162633521313,0.5722091794013977,1
3905,3.0,7.0,9.0,0.0,0.6749816581071166,4.6097722286464435,0.5661982297897339,1
3906,4.0,6.0,3.0,2.0,0.7377049180327869,2.0615528128088303,0.5799514651298523,1
3907,1.0,2.0,9.0,1.0,0.7678571428571429,5.024937810560445,0.5277140140533447,1
3908,8.0,4.0,1.0,0.0,0.7746478873239436,4.031128874149275,0.4468404948711395,1
3909,3.0,1.0,8.0,3.0,0.7488653555219364,2.692582403567252,0.5750185251235962,1
3910,4.0,3.0,3.0,1.0,0.8022690437601296,1.118033988749895,0.5779297947883606,0
3911,8.0,6.0,2.0,1.0,0.7218978102189781,4.6097722286464435,0.5501802563667297,1
3912,7.0,1.0,3.0,2.0,0.7678300455235205,2.5,0.5859888792037964,1
3913,1.0,3.0,2.0,4.0,0.8156862745098039,0.7071067811865476,0.5570915937423706,0
3914,0.0,2.0,5.0,2.0,0.8465277777777778,2.5,0.5687341094017029,0
3915,1.0,7.0,0.0,5.0,0.7456603773584906,1.118033988749895,0.568954586982727,1
3916,3.0,3.0,5.0,0.0,0.8203017832647462,1.8027756377319946,0.5639626383781433,0
3917,3.0,3.0,5.0,0.0,0.8203017832647462,1.8027756377319946,0.4733921885490417,0
3918,7.0,9.0,0.0,0.0,0.7368786930830726,5.70087712549569,0.5825062394142151,1
3919,3.0,4.0,3.0,1.0,0.813655761024182,1.5,0.5755804181098938,0
